id_video,sent,finished,time_request
58,2023-12-01T16:50:56.171Z,2023-12-01T16:54:06.381337Z,190210.337
61,2023-12-01T16:50:56.502Z,2023-12-01T16:54:19.633255Z,203131.255
51,2023-12-01T16:50:55.625Z,2023-12-01T16:54:20.428170Z,204803.16999999998
53,2023-12-01T16:50:55.93Z,2023-12-01T16:57:18.514389Z,382584.38899999997
73,2023-12-01T16:50:58.494Z,2023-12-01T16:57:37.057562Z,398563.562
65,2023-12-01T16:50:56.875Z,2023-12-01T16:57:44.662643Z,407787.643
66,2023-12-01T16:50:57.951Z,2023-12-01T17:00:39.938471Z,581987.471
82,2023-12-01T16:50:59.177Z,2023-12-01T17:00:50.157125Z,590980.125
63,2023-12-01T16:50:56.652Z,2023-12-01T17:00:55.922650Z,599270.65
55,2023-12-01T16:50:55.865Z,2023-12-01T17:03:47.692719Z,771827.719
60,2023-12-01T16:50:56.362Z,2023-12-01T17:04:01.074778Z,784712.7779999999
72,2023-12-01T16:50:58.515Z,2023-12-01T17:04:08.687494Z,790172.4940000001
64,2023-12-01T16:50:56.652Z,2023-12-01T17:07:05.932889Z,969280.889
62,2023-12-01T16:50:56.538Z,2023-12-01T17:07:18.145919Z,981607.919
71,2023-12-01T16:50:58.556Z,2023-12-01T17:07:29.000533Z,990444.5329999999
88,2023-12-01T16:50:59.629Z,2023-12-01T17:10:19.442145Z,1159813.145
68,2023-12-01T16:50:56.954Z,2023-12-01T17:10:48.903289Z,1191949.2889999999
85,2023-12-01T16:50:59.731Z,2023-12-01T17:10:50.226987Z,1190495.987
76,2023-12-01T16:50:58.673Z,2023-12-01T17:13:27.878778Z,1349205.778
74,2023-12-01T16:50:58.463Z,2023-12-01T17:13:55.636648Z,1377173.648
77,2023-12-01T16:50:58.902Z,2023-12-01T17:14:01.533808Z,1382631.8080000002
52,2023-12-01T16:50:55.676Z,2023-12-01T17:16:37.654341Z,1541978.341
59,2023-12-01T16:50:56.471Z,2023-12-01T17:16:52.890302Z,1556419.302
83,2023-12-01T16:50:59.321Z,2023-12-01T17:17:07.668766Z,1568347.766
70,2023-12-01T16:50:57.107Z,2023-12-01T17:19:51.651973Z,1734544.973
84,2023-12-01T16:50:59.539Z,2023-12-01T17:20:04.198514Z,1744659.514
89,2023-12-01T16:50:59.924Z,2023-12-01T17:20:17.939990Z,1758015.99
54,2023-12-01T16:50:55.84Z,2023-12-01T17:23:08.952692Z,1933112.692
56,2023-12-01T16:50:55.84Z,2023-12-01T17:23:18.995222Z,1943155.222
90,2023-12-01T16:50:59.876Z,2023-12-01T17:23:20.384337Z,1940508.337
57,2023-12-01T16:50:56.154Z,2023-12-01T17:26:19.384972Z,2123230.972
69,2023-12-01T16:50:57.073Z,2023-12-01T17:26:22.258481Z,2125185.481
78,2023-12-01T16:50:58.996Z,2023-12-01T17:26:35.641402Z,2136645.4020000002
67,2023-12-01T16:50:56.954Z,2023-12-01T17:29:29.797523Z,2312843.523
75,2023-12-01T16:50:58.556Z,2023-12-01T17:29:31.425171Z,2312869.1709999996
87,2023-12-01T16:50:59.629Z,2023-12-01T17:29:51.934648Z,2332305.648
79,2023-12-01T16:50:59.045Z,2023-12-01T17:32:47.305180Z,2508260.18
80,2023-12-01T16:50:59.177Z,2023-12-01T17:32:48.837028Z,2509660.028
81,2023-12-01T16:50:59.07Z,2023-12-01T17:33:07.424597Z,2528354.597
86,2023-12-01T16:50:59.573Z,2023-12-01T17:35:40.563995Z,2680990.995
